,locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
9953,6465,West Mackay,pm25,6.3,"{'utc': '2019-10-15T07:00:00+00:00', 'local': '2019-10-15T17:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9956,6465,West Mackay,pm25,6.3,"{'utc': '2019-10-15T08:00:00+00:00', 'local': '2019-10-15T18:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9959,6465,West Mackay,pm25,6.3,"{'utc': '2019-10-15T09:00:00+00:00', 'local': '2019-10-15T19:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9961,6465,West Mackay,pm25,6.4,"{'utc': '2019-10-15T10:00:00+00:00', 'local': '2019-10-15T20:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9965,6465,West Mackay,pm25,6.5,"{'utc': '2019-10-15T11:00:00+00:00', 'local': '2019-10-15T21:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9968,6465,West Mackay,pm25,6.5,"{'utc': '2019-10-15T12:00:00+00:00', 'local': '2019-10-15T22:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9970,6465,West Mackay,pm25,6.6,"{'utc': '2019-10-15T13:00:00+00:00', 'local': '2019-10-15T23:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9975,6465,West Mackay,pm25,6.6,"{'utc': '2019-10-15T14:00:00+00:00', 'local': '2019-10-16T00:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9976,6465,West Mackay,pm25,6.6,"{'utc': '2019-10-15T15:00:00+00:00', 'local': '2019-10-16T01:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9979,6465,West Mackay,pm25,6.6,"{'utc': '2019-10-15T16:00:00+00:00', 'local': '2019-10-16T02:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
